번호	설치장소명	설치장소상세	설치시도명	설치시군구명	설치시설구분	서비스제공사명	와이파이SSID	설치연월	소재지도로명주소	소재지지번주소	관리기관명	관리기관전화번호	WGS84위도	WGS84경도	데이터기준일자
1	미아동복합청사	4F 주차관리과	서울특별시	강북구	관공서	강북구청	PublicWiFi@Gangbuk	Jan-12	서울특별시 강북구 솔매로49길 14	서울특별시 강북구 미아동 197-1	강북구청	02-901-7212	37.6270597	127.0270449	2020-06-15
2	보건소	1F 진료실	서울특별시	강북구	관공서	강북구청	PublicWiFi@Gangbuk	Jan-12	서울특별시 강북구 한천로 897	서울특별시 강북구 번동 232	강북구청	02-901-7212	37.6322163	127.0387405	2020-06-15
3	보건소	3F 지역보건과 앞 복도	서울특별시	강북구	관공서	강북구청	PublicWiFi@Gangbuk	Jan-12	서울특별시 강북구 한천로 897	서울특별시 강북구 번동 232	강북구청	02-901-7212	37.6322163	127.0387405	2020-06-15
4	보건소	4F 보건위생과	서울특별시	강북구	관공서	강북구청	PublicWiFi@Gangbuk	Jan-12	서울특별시 강북구 한천로 897	서울특별시 강북구 번동 232	강북구청	02-901-7212	37.6322163	127.0387405	2020-06-15
5	삼각산보건분소	1F 진료실	서울특별시	강북구	관공서	강북구청	PublicWiFi@Gangbuk	Jan-12	서울특별시 강북구 삼양로19길 154	서울특별시 강북구 미아동 1353-8	강북구청	02-901-7212	37.6170342	127.0156591	2020-06-15
6	삼각산보건분소	2F 방문간호사실	서울특별시	강북구	관공서	강북구청	PublicWiFi@Gangbuk_Secure	Jan-12	서울특별시 강북구 삼양로19길 154	서울특별시 강북구 미아동 1353-8	강북구청	02-901-7212	37.6170342	127.0156591	2020-06-15
7	강북구의회	본관 1F 의회사무국	서울특별시	강북구	관공서	강북구청	PublicWiFi@Gangbuk	Jan-12	서울특별시 강북구 삼각산로 89	서울특별시 강북구 인수동 605-328	강북구청	02-901-7212	37.6406393	127.0140761	2020-06-15
8	강북구의회	본관 2F 제1위원회실	서울특별시	강북구	관공서	강북구청	PublicWiFi@Gangbuk	Jan-12	서울특별시 강북구 삼각산로 89	서울특별시 강북구 인수동 605-328	강북구청	02-901-7212	37.6406393	127.0140761	2020-06-15
9	강북구의회	본관 2F 제2위원회실	서울특별시	강북구	관공서	강북구청	PublicWiFi@Gangbuk	Jan-12	서울특별시 강북구 삼각산로 89	서울특별시 강북구 인수동 605-328	강북구청	02-901-7212	37.6406393	127.0140761	2020-06-15
10	삼양동주민센터	1F 민원실	서울특별시	강북구	관공서	강북구청	PublicWiFi@Gangbuk	Jan-12	서울특별시 강북구 삼양로 268	서울특별시 강북구 미아동 791-350	강북구청	02-901-7212	37.6273366	127.0183347	2020-06-15
11	삼양동주민센터	1F 민원실	서울특별시	강북구	관공서	강북구청	PublicWiFi@Gangbuk	Jan-12	서울특별시 강북구 삼양로 268	서울특별시 강북구 미아동 791-350	강북구청	02-901-7212	37.6273366	127.0183347	2020-06-15
12	송중동주민센터	1F 민원실	서울특별시	강북구	관공서	강북구청	PublicWiFi@Gangbuk	Jan-12	서울특별시 강북구 오패산로 162	서울특별시 강북구 미아동 87-141	강북구청	02-901-7212	37.6161144	127.0336992	2020-06-15
13	송중동주민센터	3F 로비(창고 앞)	서울특별시	강북구	관공서	강북구청	PublicWiFi@Gangbuk	Jan-12	서울특별시 강북구 오패산로 162	서울특별시 강북구 미아동 87-141	강북구청	02-901-7212	37.6161144	127.0336992	2020-06-15
14	송천동주민센터	1F 민원실	서울특별시	강북구	관공서	강북구청	PublicWiFi@Gangbuk	Jan-12	서울특별시 강북구 솔샘로 284	서울특별시 강북구 미아동 860-56	강북구청	02-901-7212	37.6183482	127.0238912	2020-06-15
15	송천동주민센터	1F 민원실	서울특별시	강북구	관공서	강북구청	PublicWiFi@Gangbuk	Jan-12	서울특별시 강북구 솔샘로 284	서울특별시 강북구 미아동 860-56	강북구청	02-901-7212	37.6183482	127.0238912	2020-06-15
16	삼각산동주민센터	1F 민원실	서울특별시	강북구	관공서	강북구청	PublicWiFi@Gangbuk	Jan-12	서울특별시 강북구 삼양로19길 34	서울특별시 강북구 미아동 813-3	강북구청	02-901-7212	37.61525	127.017489	2020-06-15
17	삼각산동주민센터	1F 민원실	서울특별시	강북구	관공서	강북구청	PublicWiFi@Gangbuk	Jan-12	서울특별시 강북구 삼양로19길 34	서울특별시 강북구 미아동 813-3	강북구청	02-901-7212	37.61525	127.02068	2020-06-15
18	번1동주민센터	1F 민원실	서울특별시	강북구	관공서	강북구청	PublicWiFi@Gangbuk	Jan-12	서울특별시 강북구 덕릉로41길 74	서울특별시 강북구 번동 417-11	강북구청	02-901-7212	37.637859	127.02068	2020-06-15
19	번1동주민센터	2F 행정실	서울특별시	강북구	관공서	강북구청	PublicWiFi@Gangbuk	Jan-12	서울특별시 강북구 덕릉로41길 74	서울특별시 강북구 번동 417-11	강북구청	02-901-7212	37.637859	127.028847	2020-06-15
20	번2동주민센터	1F 민원실	서울특별시	강북구	관공서	강북구청	PublicWiFi@Gangbuk	Jan-12	서울특별시 강북구 한천로 897	서울특별시 강북구 번동 232	강북구청	02-901-7212	37.6322163	127.028847	2020-06-15
21	번2동주민센터	1F 민원실	서울특별시	강북구	관공서	강북구청	PublicWiFi@Gangbuk	Jan-12	서울특별시 강북구 한천로 897	서울특별시 강북구 번동 232	강북구청	02-901-7212	37.6322163	127.0387405	2020-06-15
22	번3동주민센터	1F 민원실	서울특별시	강북구	관공서	강북구청	PublicWiFi@Gangbuk	Jan-12	서울특별시 강북구 한천로105길 21	서울특별시 강북구 번동 242-3	강북구청	02-901-7212	37.6258778	127.0465932	2020-06-15
23	번3동주민센터	1F 민원실	서울특별시	강북구	관공서	강북구청	PublicWiFi@Gangbuk	Jan-12	서울특별시 강북구 한천로105길 21	서울특별시 강북구 번동 242-3	강북구청	02-901-7212	37.6258778	127.0465932	2020-06-15
24	수유1동주민센터	1F 민원실	서울특별시	강북구	관공서	강북구청	PublicWiFi@Gangbuk	Jan-12	서울특별시 강북구 삼양로 299	서울특별시 강북구 수유동 605-412	강북구청	02-901-7212	37.6300757	127.017582	2020-06-15
25	수유1동주민센터	1F 민원실	서울특별시	강북구	관공서	강북구청	PublicWiFi@Gangbuk	Jan-12	서울특별시 강북구 삼양로 299	서울특별시 강북구 수유동 605-412	강북구청	02-901-7212	37.6300757	127.017582	2020-06-15
26	수유2동주민센터	1F 민원실	서울특별시	강북구	관공서	강북구청	PublicWiFi@Gangbuk	Jan-12	서울특별시 강북구 한천로 1117	서울특별시 강북구 수유동 730-1	강북구청	02-901-7212	37.6446663	127.0199661	2020-06-15
27	수유2동주민센터	2F 민원실	서울특별시	강북구	관공서	강북구청	PublicWiFi@Gangbuk	Jan-12	서울특별시 강북구 한천로 1117	서울특별시 강북구 수유동 730-1	강북구청	02-901-7212	37.6446663	127.0199661	2020-06-15
28	수유3동주민센터	1F 민원실	서울특별시	강북구	관공서	강북구청	PublicWiFi@Gangbuk	Jan-12	서울특별시 강북구 노해로 36	서울특별시 강북구 수유동 223-8	강북구청	02-901-7212	37.6387143	127.0230802	2020-06-15
29	수유3동주민센터	1F 민원실	서울특별시	강북구	관공서	강북구청	PublicWiFi@Gangbuk	Jan-12	서울특별시 강북구 노해로 36	서울특별시 강북구 수유동 223-8	강북구청	02-901-7212	37.6387143	127.0230802	2020-06-15
30	우이동주민센터	1F 민원실	서울특별시	강북구	관공서	강북구청	PublicWiFi@Gangbuk	Jan-12	서울특별시 강북구 삼양로139길 49	서울특별시 강북구 수유동 568-100	강북구청	02-901-7212	37.6479623	127.011899	2020-06-15
31	우이동주민센터	1F 민원실	서울특별시	강북구	관공서	강북구청	PublicWiFi@Gangbuk	Jan-12	서울특별시 강북구 삼양로139길 49	서울특별시 강북구 수유동 568-100	강북구청	02-901-7212	37.6479623	127.011899	2020-06-15
32	인수동주민센터	1F 민원실	서울특별시	강북구	관공서	강북구청	PublicWiFi@Gangbuk	Jan-12	서울특별시 강북구 인수봉로 255	서울특별시 강북구 수유동 527-19	강북구청	02-901-7212	37.6415089	127.0106684	2020-06-15
33	인수동주민센터	1F 민원실	서울특별시	강북구	관공서	강북구청	PublicWiFi@Gangbuk	Jan-12	서울특별시 강북구 인수봉로 255	서울특별시 강북구 수유동 527-19	강북구청	02-901-7212	37.6415089	127.0106684	2020-06-15
34	강북문화예술회관	B1F 안내소	서울특별시	강북구	기타	강북구청	PublicWiFi@Gangbuk	Jan-12	서울특별시 강북구 삼각산로 85	서울특별시 강북구 수유동 360-10	강북구청	02-901-7212	37.6407903	127.0133567	2020-06-15
35	강북문화예술회관	2F 복도	서울특별시	강북구	기타	강북구청	PublicWiFi@Gangbuk	Jan-12	서울특별시 강북구 삼각산로 85	서울특별시 강북구 수유동 360-10	강북구청	02-901-7212	37.6407903	127.0133567	2020-06-15
36	강북문화예술회관	2F 정보화교육장	서울특별시	강북구	기타	강북구청	PublicWiFi@Gangbuk	Jan-12	서울특별시 강북구 삼각산로 85	서울특별시 강북구 수유동 360-10	강북구청	02-901-7212	37.6407903	127.0133567	2020-06-15
37	강북문화예술회관	3F 독서실	서울특별시	강북구	기타	강북구청	PublicWiFi@Gangbuk	Jan-12	서울특별시 강북구 삼각산로 85	서울특별시 강북구 수유동 360-10	강북구청	02-901-7212	37.6407903	127.0133567	2020-06-15
38	강북문화예술회관	광장 시계탑	서울특별시	강북구	기타	강북구청	PublicWiFi@Gangbuk	Jan-12	서울특별시 강북구 삼각산로 85	서울특별시 강북구 수유동 360-10	강북구청	02-901-7212	37.6407903	127.0133567	2020-06-15
