주차장관리번호	주차장명	경도	위도	주차장구분	주차장유형	주차장지번주소	주차장도로명주소	주차구획수	운영요일	평일운영시작시각	평일운영종료시각	토요일운영시작시각	토요일운영종료시각	공휴일운영시작시각	공휴일운영종료시각	요금정보	관리기관명	지역구분	지역구분_sub	지역중심좌표(X좌표)	지역중심좌표(Y좌표)	지역코드	연락처	수정일자
10101	봉평신라비 홍보관 공영주차장	129.4093438	37.0437011	공영	노외	경상북도 울진군 죽변면 봉평리 47	경상북도 울진군 봉화길 15	104	평일+토요일+공휴일							무료	경상북도 울진군	경상북도	울진군	129.312205	36.90408324	47930	054-789-6391	2015-09-30
10102	방어동(1009-9)	129.4085415	35.4816746	공영	노외	울산광역시 동구 방어동 1009-9	울산광역시 동구 화잠4길 32	8	평일+토요일+공휴일	0:00	0:00	0:00	0:00	0:00	0:00	무료	울산광역시 동구청	울산광역시	동구	129.4260695	35.52558	31170	052-209-3722	2015-08-31
10103	방어동(1009-6)	129.4083465	35.4821524	공영	노외	울산광역시 동구 방어동 1009-6	울산광역시 동구 꽃바위로 99	50	평일+토요일+공휴일	0:00	0:00	0:00	0:00	0:00	0:00	무료	울산광역시 동구청	울산광역시	동구	129.4260695	35.52558	31170	052-209-3722	2015-08-31
10104	연호공원 공영주차장	129.4065593	36.9946536	공영	노외	경상북도 울진군 울진읍 연지리 793	경상북도 울진군 연호로47	119	평일+토요일+공휴일							무료	경상북도 울진군	경상북도	울진군	129.312205	36.90408324	47930	054-789-6391	2015-09-30
10105	2호관사앞  공영주차장	129.4030048	36.9971904	공영	노외	경상북도 울진군 울진읍 읍내리 581-2	경상북도 울진군 읍내10길19	40	평일+토요일+공휴일							무료	경상북도 울진군	경상북도	울진군	129.312205	36.90408324	47930	054-789-6391	2015-09-30
10106	울진시장 공영주차장	129.4022819	36.9919188	공영	노외	경상북도 울진군 울진읍 읍내리 53-24	경상북도 울진군 읍내1길18	151	평일+토요일+공휴일							무료	경상북도 울진군	경상북도	울진군	129.312205	36.90408324	47930	054-789-6391	2015-09-30
10107	엑스포공원 공영주차장	129.4010841	36.9686863	공영	노외	경상북도 울진군 근남면 수산리 346	경상북도 울진군 친환경엑스포로 25	42	평일+토요일+공휴일							무료	경상북도 울진군	경상북도	울진군	129.312205	36.90408324	47930	054-789-6391	2015-09-30
10108	구문화원 공영주차장	129.4001	36.9922476	공영	노외	경상북도 울진군 울진읍 읍내리 77-2	경상북도 울진군 울진중앙로 115-21	43	평일+토요일+공휴일							무료	경상북도 울진군	경상북도	울진군	129.312205	36.90408324	47930	054-789-6391	2015-09-30
10109	신성슈퍼앞(성심한의원) 공영주차장	129.3992361	36.9903444	공영	노상	경상북도 울진군 울진읍 읍내리 135-5	경상북도 울진군 강변로99	50	평일+토요일+공휴일							무료	경상북도 울진군	경상북도	울진군	129.312205	36.90408324	47930	054-789-6391	2015-09-30
10110	남대천변 공영주차장	129.399028	36.992689	공영	노외	경상북도 울진군 울진읍읍내리 450	경상북도 울진군 울진읍 향교로 24	454	평일+토요일+공휴일							무료	경상북도 울진군	경상북도	울진군	129.312205	36.90408324	47930	054-789-6391	2015-09-30
10111	울진항교앞 공영주차장	129.3985057	36.99455	공영	노상	경상북도 울진군 울진읍 읍내리 653-1	경상북도 울진군 향교로 34-13	30	평일+토요일+공휴일							무료	경상북도 울진군	경상북도	울진군	129.312205	36.90408324	47930	054-789-6391	2015-09-30
10112	근남농협앞 공영주차장	129.3984022	36.9639371	공영	노외	경상북도 울진군 근남면 노음리 322-38	경상북도 울진군 망양정로1177	11	평일+토요일+공휴일							무료	경상북도 울진군	경상북도	울진군	129.312205	36.90408324	47930	054-789-6391	2015-09-30
10113	근남농협 왕피천변 공영주차장	129.3984022	36.9639371	공영	노외	경상북도 울진군 근남면 노음리 322-38	경상북도 울진군 망양정로1177	70	평일+토요일+공휴일							무료	경상북도 울진군	경상북도	울진군	129.312205	36.90408324	47930	054-789-6391	2015-09-30
10114	울진등기소 앞 공영주차장	129.3966144	36.9892551	공영	노외	경상북도 울진군 울진읍 읍내리406-2	경상북도 울진군 월변2길 33	100	평일+토요일+공휴일							무료	경상북도 울진군	경상북도	울진군	129.312205	36.90408324	47930	054-789-6391	2015-09-30
10115	염포마을공동	129.392919	35.5362615	공영	노외	울산광역시 북구 염포동 307-3		50	평일+토요일+공휴일	5:00	20:00	5:00	20:00	0:00	0:00	혼합	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10116	현대자동차사택	129.39213	35.5416113	공영	노외	울산광역시 북구 양정동 772-1		23	평일+토요일+공휴일	0:00	0:00	0:00	0:00	0:00	0:00	무료	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10117	염포신전 노상	129.39053	35.5356331	공영	노상	울산광역시 북구 염포동 195-1		23	평일+토요일+공휴일	5:00	20:00	5:00	20:00	0:00	0:00	혼합	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10118	강구공영주차장	129.3874371	36.3597209	공영	노상	경상북도 영덕군 강구면 강구리363-22	경상북도 영덕군 강구면 강영로 33	189	평일+토요일+공휴일	9:00	19:00	9:00	19:00	9:00	19:00	유료	경상북도 영덕군청	경상북도	영덕군	129.3173817	36.48249776	47770	054-730-6252	2016-06-23
10119	양정복개천 노상	129.384623	35.5472203	공영	노상	울산광역시 북구 양정동 776-33		70	평일+토요일+공휴일	5:00	20:00	5:00	20:00	0:00	0:00	혼합	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10120	박물관부설	129.381675	35.50376	공영	부설	울산광역시 남구 매암동 139-29	울산광역시 남구 장생포로244	230	평일+토요일+공휴일	8:00	18:00	8:00	18:00	8:00	18:00	유료	울산광역시남구도시관리공단	울산광역시	남구	129.3281901	35.51605166	31140	052-226-0945	2016-03-04
10121	민물고기연구센터 공영주차장	129.3809885	36.9665543	공영	노외	경상북도 울진군 근남면 행곡리 228	경상북도 울진군 불영계곡로 3532	80	평일+토요일+공휴일							무료	경상북도 울진군	경상북도	울진군	129.312205	36.90408324	47930	054-789-6391	2015-09-30
10122	성류굴 민영주차장	129.380596	36.953439	민영	노외	경상북도 울진군 근남면 구산리 397-1	경상북도 울진군 근남면 성류남길 74	200	평일+토요일+공휴일							유료	경상북도 울진군	경상북도	울진군	129.312205	36.90408324	47930	054-789-6391	2015-09-30
10123	임광아파트 공영주차장	129.3791041	36.9559366	공영	노상	경상북도 울진군 후포면 삼율리53-57	경상북도 울진군 상밤터길 40	12	평일+토요일+공휴일							무료	경상북도 울진군	경상북도	울진군	129.312205	36.90408324	47930	054-789-6391	2015-09-30
10124	성류굴 공영주차장	129.3791041	36.9559366	공영	노외	경상북도 울진군 근남면 구산리 404-4	경상북도 울진군 성류굴로 225	285	평일+토요일+공휴일							무료	경상북도 울진군	경상북도	울진군	129.312205	36.90408324	47930	054-789-6391	2015-09-30
10125	영일대	129.3779474	36.0558574	공영	노상	경상북도 포항시 북구 두호동	경상북도 포항시 북구 삼호로	185	평일+토요일	13:00	21:00	13:00	21:00	13:00	21:00	유료	경상북도 포항시시설관리공단	경상북도	포항시 북구	0	0	47113	054-280-9420	2015-09-01
10126	모듈화산업단지제2	129.376175	35.5710394	공영	노외	울산광역시 북구 효문동 986		145	평일+토요일+공휴일	0:00	0:00	0:00	0:00	0:00	0:00	무료	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10127	성류굴종합운동장 공영주차장	129.3748349	36.9582779	공영	노외	경상북도 울진군 근남면 수곡리 62	경상북도 울진군 구산수곡길717	563	평일+토요일+공휴일							무료	경상북도 울진군	경상북도	울진군	129.312205	36.90408324	47930	054-789-6391	2015-09-30
10128	모듈화산업단지제1	129.373377	35.5797445	공영	노외	울산광역시 북구 연암동 1372		80	평일+토요일+공휴일	0:00	0:00	0:00	0:00	0:00	0:00	무료	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10129	북면사무소(광장) 공영주차장	129.3730896	37.1048653	공영	노외	경상북도 울진군 북면 부구리 175	경상북도 울진군 부구3길 12	25	평일+토요일+공휴일							무료	경상북도 울진군	경상북도	울진군	129.312205	36.90408324	47930	054-789-6391	2015-09-30
10130	흥부시장 공영주차장	129.3730896	37.1048653	공영	노외	경상북도 울진군 북면 부구리 175	경상북도 울진군 부구3길 12	42	평일+토요일+공휴일							무료	경상북도 울진군	경상북도	울진군	129.312205	36.90408324	47930	054-789-6391	2015-09-30
10131	부구천변  공영주차장	129.3730896	37.1048653	공영	노외	경상북도 울진군 북면 부구리 175	경상북도 울진군 부구3길 12	20	평일+토요일+공휴일							무료	경상북도 울진군	경상북도	울진군	129.312205	36.90408324	47930	054-789-6391	2015-09-30
10132	화동	129.373008	35.5911679	공영	노외	울산광역시 북구 화봉동 365		95	평일+토요일+공휴일	0:00	0:00	0:00	0:00	0:00	0:00	무료	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10133	송도삼일	129.373006	36.033933	공영	노외	경상북도 포항시 남구 송도동	경상북도 포항시 송도동 송도로	74	월 휴무	10:00	19:00	10:00	19:00	10:00	19:00	유료	경상북도 포항시시설관리공단	경상북도	포항시 남구	129.4376526	35.95814843	47111	054-280-9420	2015-09-01
10134	울진원자력전시관 민영주차장	129.3715575	37.0972856	민영	노외	경상북도 울진군 북면 부구리 1	경상북도 울진군 울진북로 2040	300	평일+토요일+공휴일							무료	경상북도 울진군	경상북도	울진군	129.312205	36.90408324	47930	054-789-6391	2015-09-30
10135	효문노상	129.371282	35.5894989	공영	노상	울산광역시 북구 화봉동 961-3		141	평일+토요일+공휴일	0:00	0:00	0:00	0:00	0:00	0:00	무료	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10136	큰동해 시장	129.371077	36.0262006	공영	노외	경상북도 포항시 남구 해도동	경상북도 포항시 남구 중앙로	17	평일	11:00	19:30	11:00	19:30	11:00	19:30	유료	경상북도 포항시시설관리공단	경상북도	포항시 남구	129.4376526	35.95814843	47111	054-280-9420	2015-09-01
10137	효죽이면	129.371041	35.5652387	공영	노상	울산광역시 북구 효문동 958-16		15	평일+토요일+공휴일	0:00	0:00	0:00	0:00	0:00	0:00	무료	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10138	21세기학원 뒤 노상	129.370843	35.5877235	공영	노상	울산광역시 북구 연암동 1092-4		38	평일+토요일+공휴일	0:00	0:00	0:00	0:00	0:00	0:00	무료	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10139	나곡해수욕장 공영주차장	129.3703728	37.126378	공영	노외	경상북도 울진군 북면 나곡리 707	경상북도 울진군 나실길 24	46	평일+토요일+공휴일							무료	경상북도 울진군	경상북도	울진군	129.312205	36.90408324	47930	054-789-6391	2015-09-30
10140	시내노상	129.369863	36.035458	공영	노상	경상북도 포항시 북구 덕수동 55-3	경상북도 포항시 북구 중앙로 341	292	평일+토요일	10:00	19:00	10:00	19:00	10:00	19:00	유료	경상북도 포항시시설관리공단	경상북도	포항시 북구	129.2336813	36.16517719	47113	054-280-9420	2015-09-01
10141	어시장 노상	129.369863	36.035458	공영	노상	경상북도 포항시 북구 죽도동	경상북도 북구 칠성로	19	"월, 공휴일 휴무"	10:00	19:00	10:00	19:00	10:00	19:00	유료	경상북도 포항시시설관리공단	경상북도	포항시 북구	129.2336813	36.16517719	47113	054-280-9420	2015-09-01
10142	칠성천	129.369863	36.035458	공영	노상	경상북도 포항시 북구 죽도동	경상북도 포항시 북구 칠성로	128	연중	7:00	22:00	7:00	22:00	7:00	22:00	유료	경상북도 포항시시설관리공단	경상북도	포항시 북구	129.2336813	36.16517719	47113	054-280-9420	2015-09-01
10143	동빈부두	129.369863	36.035458	공영	노외	경상북도 포항시 북구 죽도동	경상북도 북구 칠성로	55	월 휴무	10:00	19:00	10:00	19:00	10:00	19:00	유료	경상북도 포항시시설관리공단	경상북도	포항시 북구	129.2336813	36.16517719	47113	054-280-9420	2015-09-01
